Branch ID,Branch Length,Branch Population,Branch Prevalence,Parent 1,Parent 2,Parent 3
573,927.2028815,2046,1,630,-1,-1
630,776.0951577,4117,1,635,-1,-1
635,75.55386187,67,1,639,649,-1
639,182.403158,1555,1,643,-1,-1
643,414.4341913,2000,1,642,-1,-1
642,62.59086855,179,1,634,686,-1
634,462.4893917,2695,1,-1,-1,-1
686,786.834053,2796,1,680,712,-1
680,97.68307567,988,1,-1,-1,-1
712,541.8400264,1706,1,727,-1,-1
727,528.8770331,1442,1,693,734,-1
693,445.7296256,1483,1,684,-1,-1
684,213.6985923,131,1,659,699,-1
659,1324.877307,2601,1,-1,-1,-1
699,274.7167861,2061,1,-1,-1,-1
734,88.51685519,99,1,751,815,-1
751,396.1017503,468,1,750,756,-1
750,46.94315142,1137,1,-1,-1,-1
756,88.5168552,427,1,776,818,-1
776,489.9880532,420,1,774,762,787
774,391.1929285,718,1,-1,-1,-1
762,186.1999309,975,1,-1,-1,-1
787,110.646069,614,1,-1,-1,-1
818,552.5789217,645,1,-1,-1,-1
815,615.1697903,804,1,851,-1,-1
851,667.0217636,1133,1,855,845,862
855,232.0310333,425,1,850,912,-1
850,922.7546854,2699,1,856,-1,-1
856,244.9940266,1581,1,860,867,-1
860,213.6985923,337,1,798,871,-1
798,2003.750014,9071,1,-1,-1,-1
871,132.7752828,424,1,875,879,-1
875,680.4453827,1927,1,-1,-1,-1
879,324.3446613,1416,1,-1,-1,-1
867,186.1999309,1754,1,-1,-1,-1
912,763.1321644,1511,1,913,963,-1
913,46.94315141,1425,1,-1,-1,-1
963,1495.890146,8450,1,945,-1,-1
945,270.9200132,243,1,898,949,-1
898,554.8030198,752,1,-1,-1,-1
949,97.68307567,514,1,-1,-1,-1
845,554.8030198,906,1,-1,-1,-1
862,138.1447304,93,1,892,903,-1
892,263.3264675,651,1,926,937,-1
926,364.806316,389,1,940,1038,-1
940,169.4401647,241,1,959,987,-1
959,125.1817371,20,1,1040,1043,-1
1040,855.254995,1151,1,-1,-1,-1
1043,1500.798968,3919,1,-1,-1,-1
987,528.8770331,282,1,1004,1062,-1
1004,223.9768618,471,1,-1,-1,-1
1062,1079.231857,603,1,1071,-1,-1
1071,311.381668,855,1,-1,-1,-1
1038,1743.759694,1285,1,-1,-1,-1
937,464.0620665,1276,1,948,-1,-1
948,93.88630283,194,1,967,982,-1
967,160.2739442,1339,1,-1,-1,-1
982,860.1638169,2531,1,1007,-1,-1
1007,698.3171978,2471,1,1009,1018,-1
1009,1081.455955,2016,1,-1,-1,-1
1018,239.624579,357,1,1034,-1,-1
1034,177.0337104,195,1,1090,-1,-1
1090,1469.503534,1958,1,-1,-1,-1
903,586.098454,385,1,891,-1,-1
891,860.1638168,871,1,-1,-1,-1
649,255.2722961,1952,1,-1,-1,-1